,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,RSI,M12
91,2010-05-20,2739.22,2726.02,2793.88,2721.07,42174803,52677914862.0,2.64,-1.31,-36.15,0.14,2010-05-20,2944.6305,162.4933800586808,3269.6172601173616,26.50385459456419,-0.0971799499908923
92,2010-05-21,2656.42,2768.79,2769.09,2647.6,54475383,63501808937.0,4.46,1.57,42.77,0.18,2010-05-21,2922.993,155.12840773134803,3233.249815462696,29.996918170733323,-0.0881309713179137
93,2010-05-24,2787.75,2873.47,2886.37,2787.75,74502338,89961882752.0,3.56,3.78,104.68,0.24,2010-05-24,2907.1665000000003,142.049261702634,3191.265023405268,40.91124171938038,-0.008074259715692311
94,2010-05-25,2851.26,2813.94,2855.33,2798.02,55168327,67954988050.0,1.99,-2.07,-59.53,0.18,2010-05-25,2889.2635,128.86670217403258,3146.996904348065,36.84770655220122,-0.008054878930058185
95,2010-05-26,2814.44,2813.94,2839.03,2797.63,39858564,48495603059.0,1.47,0.0,0.0,0.13,2010-05-26,2874.54,118.95127790734233,3112.4425558146845,44.128643045288456,-0.015495603922707435
96,2010-05-27,2808.05,2859.98,2866.86,2771.59,53445209,65266773667.0,3.39,1.64,46.04,0.17,2010-05-27,2862.6715,106.76811949143425,3076.2077389828682,51.67531172790453,0.021122385587077908
97,2010-05-28,2885.86,2850.3,2893.69,2835.07,51534989,64342505421.0,2.05,-0.34,-9.68,0.17,2010-05-28,2852.1835,96.13041214796284,3044.444324295926,49.417211729257005,0.011404604422744047
98,2010-05-31,2835.33,2773.26,2857.42,2772.79,46216854,56695803642.0,2.97,-2.7,-77.04,0.15,2010-05-31,2837.4785,83.0926302562094,3003.663760512419,48.031372324923574,-0.039367351250991445
99,2010-06-01,2755.28,2744.16,2782.29,2710.59,44851426,53230913831.0,2.59,-1.05,-29.1,0.15,2010-06-01,2823.714,73.62379666785665,2970.961593335713,44.801472447803974,-0.04318658865698288
100,2010-06-02,2729.33,2757.53,2757.91,2700.07,39587020,46364229493.0,2.11,0.49,13.37,0.13,2010-06-02,2809.7709999999997,55.369524764368784,2920.5100495287375,40.14412822231705,0.015769582130017223
