,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
65,2024-02-01,3217.71,3202.26,3251.76,3191.9,2.36,1.86,0.47,0.013395634,0.013236674,0.011907062,3275.3385,38.6393533065352,3352.6172066130703,3198.0597933869294,42.62276884823728,-0.0251963112866872,59.86000000000013,36.41000000000031,23.449999999999818,59.86000000000013,62.076428571428615
66,2024-02-02,3179.63,3219.87,3235.41,3108.35,-38.08,3.95,0.5612,0.050501849,0.021631485,0.014087587,3267.8645,42.0015802302957,3351.8676604605917,3183.8613395394086,39.56354194572095,-0.015313959394006926,127.05999999999995,17.699999999999818,109.36000000000013,127.05999999999995,67.8914285714286
67,2024-02-05,3200.42,3164.25,3233.85,3111.52,20.79,3.85,0.6558,0.05873476,0.030595898,0.016543556,3263.5825,44.348794545415,3352.28008909083,3174.88491090917,39.66673523966262,-0.022691947122358114,122.32999999999993,54.2199999999998,68.11000000000013,122.32999999999993,73.7407142857143
68,2024-02-06,3311.69,3185.25,3314.51,3182.82,111.27,4.11,0.6548,0.025418142,0.032953457,0.01744057,3264.542,45.20665584437133,3354.9553116887428,3174.128688311257,57.859086325322984,0.012817376092581156,131.69000000000005,114.09000000000015,17.59999999999991,131.69000000000005,78.01857142857145
69,2024-02-07,3343.63,3314.03,3343.63,3289.67,31.94,1.63,0.6998,0.01050205,0.031710487,0.017625682,3267.867,48.506393729398596,3364.879787458797,3170.854212541203,56.730355956706916,0.03874926217030672,53.960000000000036,31.940000000000055,22.019999999999982,53.960000000000036,74.18571428571431
70,2024-02-08,3364.93,3351.41,3367.21,3336.98,21.3,0.9,0.6136,0.01125695,0.03128275,0.017792151,3271.33,52.87169484506181,3377.0733896901233,3165.5866103098765,59.00683440298363,0.04115188138356962,30.230000000000018,23.579999999999927,6.650000000000091,30.230000000000018,73.8357142857143
71,2024-02-19,3403.81,3393.19,3403.81,3364.14,38.88,1.18,0.5921,0.004403039,0.022062988,0.017570565,3277.3120000000004,60.6036756397869,3398.519351279574,3156.1046487204267,67.9103465643827,0.03866211387472496,39.67000000000007,38.88000000000011,0.7899999999999636,39.67000000000007,70.36642857142859
72,2024-02-20,3410.85,3395.19,3415.89,3380.1,7.05,1.05,0.4545,0.004446477,0.011205331,0.017468186,3283.8085,67.5739727437147,3418.9564454874294,3148.660554512571,67.53361295127591,0.020320558074976347,35.789999999999964,12.079999999999927,23.710000000000036,35.789999999999964,68.53714285714285
73,2024-02-21,3456.87,3390.36,3500.13,3383.69,46.02,3.41,0.61,0.013007067,0.008723116,0.017914852,3291.608,77.86655140282195,3447.341102805644,3135.8748971943564,67.58697608891322,0.03690961119676528,116.44000000000005,89.2800000000002,27.159999999999854,116.44000000000005,70.35285714285715
74,2024-02-22,3486.67,3450.35,3486.68,3448.41,29.8,1.11,0.4554,0.004252938,0.007473294,0.017914131,3304.4875,87.66641299326209,3479.8203259865245,3129.154674013476,65.12998631722975,0.05530030629910776,38.26999999999998,29.809999999999945,8.460000000000036,38.26999999999998,67.76857142857145
